feedback,category
"Please provide chat support, please resolve this and it happens every day.",Feature Request
I cannot upload my documents. For better usability.,Complaint
Fast and responsive interface and it should be fixed during peak usage time.,Compliment
Fantastic user experience and it should be fixed especially on Android devices.,Compliment
I noticed that please provide chat support and it happens every day.,Feature Request
The design looks professional. Because it affects daily usage.,Compliment
Need multilingual support. For better usability.,Feature Request
Need multilingual support. Because it affects daily usage.,Feature Request
"Please include voice search, please resolve this for better usability.",Feature Request
Add fingerprint authentication and it should be fixed because it affects daily usage.,Feature Request
Need calendar integration. And it happens every day.,Feature Request
"Navigation is very simple, please resolve this for better usability.",Compliment
"The design looks professional, please resolve this for all users.",Compliment
"Excellent performance overall, please resolve this and it happens every day.",Compliment
"Please include voice search, please resolve this because it affects daily usage.",Feature Request
The application is too slow and it should be fixed because it affects daily usage.,Complaint
"Video playback keeps buffering, please resolve this during peak usage time.",Complaint
Need offline access support and it should be fixed in the next update.,Feature Request
I noticed that great improvement after the update because it affects daily usage.,Compliment
Customer support never replies which is very frustrating.,Complaint
I noticed that excellent performance overall because it affects daily usage.,Compliment
Customer support never replies in the next update.,Complaint
"The application is too slow, please resolve this because it affects daily usage.",Complaint
The app freezes frequently and it should be fixed during peak usage time.,Complaint
"Need custom notification settings, please resolve this for improved experience.",Feature Request
Need personalized recommendations and it happens every day.,Feature Request
I cannot upload my documents because it affects daily usage.,Complaint
Face authentication is not working. Because it affects daily usage.,Complaint
"Video playback keeps buffering, please resolve this as soon as possible.",Complaint
I noticed that add payment history section for better usability.,Feature Request
The latest update introduced bugs and it should be fixed during peak usage time.,Complaint
I noticed that the application is too slow for improved experience.,Complaint
"The app crashes when I open it, please resolve this for improved experience.",Complaint
Please add file sharing feature and it should be fixed which is very frustrating.,Feature Request
"The app crashes when I open it, please resolve this for improved experience.",Complaint
Customer support was helpful. During peak usage time.,Compliment
The app works perfectly for all users.,Compliment
"Login page is not working properly, please resolve this which is very frustrating.",Complaint
I noticed that fast and responsive interface for better usability.,Compliment
"Login page is not working properly, please resolve this especially on Android devices.",Complaint
This app saves a lot of time. In the next update.,Compliment
"I love the UI design, please resolve this because it affects daily usage.",Compliment
"The application is too slow, please resolve this as soon as possible.",Complaint
The features are very useful and it should be fixed especially on Android devices.,Compliment
I noticed that the app crashes when i open it for better usability.,Complaint
The latest update introduced bugs and it should be fixed which is very frustrating.,Complaint
I noticed that profile update is failing for better usability.,Complaint
"Need custom notification settings, please resolve this for improved experience.",Feature Request
The design looks professional because it affects daily usage.,Compliment
Profile update is failing. Especially on android devices.,Complaint
I really enjoy using this app and it should be fixed especially on Android devices.,Compliment
OTP is not received on time which is very frustrating.,Complaint
Search functionality is broken for all users.,Complaint
"Fast and responsive interface, please resolve this in the next update.",Compliment
I noticed that i really enjoy using this app in the next update.,Compliment
The application is too slow. For improved experience.,Complaint
The design looks professional and it should be fixed during peak usage time.,Compliment
Need custom notification settings. During peak usage time.,Feature Request
Please add file sharing feature. During peak usage time.,Feature Request
I noticed that the latest update introduced bugs in the next update.,Complaint
Add WhatsApp login support. Because it affects daily usage.,Feature Request
I noticed that need calendar integration in the next update.,Feature Request
Profile update is failing and it should be fixed in the next update.,Complaint
Please add dark mode for better usability.,Feature Request
Profile update is failing and it should be fixed and it happens every day.,Complaint
I noticed that otp is not received on time because it affects daily usage.,Complaint
Customer support never replies during peak usage time.,Complaint
I noticed that this app saves a lot of time which is very frustrating.,Compliment
Add fingerprint authentication. Which is very frustrating.,Feature Request
I noticed that profile update is failing especially on Android devices.,Complaint
Please add file sharing feature because it affects daily usage.,Feature Request
I noticed that add fingerprint authentication for all users.,Feature Request
Please add dark mode during peak usage time.,Feature Request
The latest update introduced bugs. Especially on android devices.,Complaint
I noticed that the app logs me out automatically in the next update.,Complaint
I noticed that the design looks professional and it happens every day.,Compliment
Add cloud backup feature and it should be fixed and it happens every day.,Feature Request
I noticed that need custom notification settings because it affects daily usage.,Feature Request
Add cloud backup feature and it should be fixed for improved experience.,Feature Request
Notifications are delayed. As soon as possible.,Complaint
I noticed that i really enjoy using this app for better usability.,Compliment
Customer support was helpful and it should be fixed for all users.,Compliment
The app works perfectly and it should be fixed as soon as possible.,Compliment
"The features are very useful, please resolve this which is very frustrating.",Compliment
"The app works perfectly, please resolve this and it happens every day.",Compliment
OTP is not received on time during peak usage time.,Complaint
Customer support was helpful and it should be fixed as soon as possible.,Compliment
"OTP is not received on time, please resolve this and it happens every day.",Complaint
The features are very useful and it should be fixed in the next update.,Compliment
I noticed that the app crashes when i open it in the next update.,Complaint
The latest update introduced bugs. For improved experience.,Complaint
"Search functionality is broken, please resolve this because it affects daily usage.",Complaint
"Video playback keeps buffering, please resolve this for all users.",Complaint
I noticed that the app crashes when i open it which is very frustrating.,Complaint
"Customer support was helpful, please resolve this for improved experience.",Compliment
Please add dark mode and it should be fixed in the next update.,Feature Request
"Login page is not working properly, please resolve this during peak usage time.",Complaint
Fast and responsive interface especially on Android devices.,Compliment
Need custom notification settings. For improved experience.,Feature Request
"The features are very useful, please resolve this which is very frustrating.",Compliment
Great improvement after the update. And it happens every day.,Compliment
Payment gateway failed again. In the next update.,Complaint
I noticed that please add ai chatbot assistance for improved experience.,Feature Request
